timestamp (30 minute each step),price (LINK/USDC),
0,99999999000000000000,
1000000000000000000,93904239000000000000,
2000000000000000000,85317562000000000000,
3000000000000000000,77508307000000000000,
4000000000000000000,70420887000000000000,
5000000000000000000,63975149000000000000,
6000000000000000000,58125212000000000000,
7000000000000000000,52804917000000000000,
8000000000000000000,47976394000000000000,
9000000000000000000,43585037000000000000,
10000000000000000000,39599587000000000000,
11000000000000000000,35978570000000000000,
12000000000000000000,32685393000000000000,
13000000000000000000,29696615000000000000,
14000000000000000000,26978436000000000000,
15000000000000000000,24511507000000000000,
16000000000000000000,22267929000000000000,
17000000000000000000,20231732000000000000,
18000000000000000000,18379889000000000000,
19000000000000000000,16699217000000000000,
20000000000000000000,15170711000000000000,
21000000000000000000,13783489000000000000,
22000000000000000000,12521864000000000000,
23000000000000000000,11376855000000000000,
24000000000000000000,10336546000000000000,
25000000000000000000,9390426000000000000,
26000000000000000000,8531758000000000000,
27000000000000000000,7750832000000000000,
28000000000000000000,7042090000000000000,
29000000000000000000,6397516000000000000,
30000000000000000000,5812522000000000000,
31000000000000000000,5280492000000000000,
32000000000000000000,4797640000000000000,
33000000000000000000,4358504000000000000,
34000000000000000000,3959959000000000000,
35000000000000000000,3597857000000000000,
36000000000000000000,3268540000000000000,
37000000000000000000,2969662000000000000,
38000000000000000000,2697844000000000000,
39000000000000000000,2451151000000000000,
40000000000000000000,2226793000000000000,
41000000000000000000,2023173000000000000,
42000000000000000000,1837989000000000000,
43000000000000000000,1669922000000000000,
44000000000000000000,1517071000000000000,
45000000000000000000,1378349000000000000,
46000000000000000000,1252186000000000000,
47000000000000000000,1137685000000000000,
48000000000000000000,1033654000000000000,
